class_index,synset,wordnet_id,gloss,wikilinks,supercategory,val_sample_paths
233,"Bouvier des Flandres, Bouviers des Flandres",n02106382,rough-coated breed used originally in Belgium for herding and guarding cattle,['https://en.wikipedia.org/wiki/Bouvier_des_Flandres'],Dogs,"['ILSVRC2012_val_00035699.JPEG', 'ILSVRC2012_val_00037396.JPEG', 'ILSVRC2012_val_00014490.JPEG', 'ILSVRC2012_val_00032822.JPEG', 'ILSVRC2012_val_00022254.JPEG']"
234,Rottweiler,n02106550,German breed of large vigorous short-haired cattle dogs,['https://en.wikipedia.org/wiki/Rottweiler'],Dogs,"['ILSVRC2012_val_00035656.JPEG', 'ILSVRC2012_val_00027482.JPEG', 'ILSVRC2012_val_00017940.JPEG', 'ILSVRC2012_val_00047499.JPEG', 'ILSVRC2012_val_00019107.JPEG']"
235,"German shepherd, German shepherd dog, German police dog, alsatian",n02106662,breed of large shepherd dogs used in police work and as a guide for the blind,['https://en.wikipedia.org/wiki/German_Shepherd'],Dogs,"['ILSVRC2012_val_00028009.JPEG', 'ILSVRC2012_val_00014360.JPEG', 'ILSVRC2012_val_00032995.JPEG', 'ILSVRC2012_val_00028884.JPEG', 'ILSVRC2012_val_00027763.JPEG']"
236,"Doberman, Doberman pinscher",n02107142,medium large breed of dog of German origin with a glossy black and tan coat; used as a watchdog,['https://en.wikipedia.org/wiki/Dobermann'],Dogs,"['ILSVRC2012_val_00021350.JPEG', 'ILSVRC2012_val_00006675.JPEG', 'ILSVRC2012_val_00014378.JPEG', 'ILSVRC2012_val_00015379.JPEG', 'ILSVRC2012_val_00028584.JPEG']"
237,miniature pinscher,n02107312,small German version of a Doberman pinscher,['https://en.wikipedia.org/wiki/Miniature_Pinscher'],Dogs,"['ILSVRC2012_val_00010082.JPEG', 'ILSVRC2012_val_00030852.JPEG', 'ILSVRC2012_val_00046730.JPEG', 'ILSVRC2012_val_00041031.JPEG', 'ILSVRC2012_val_00004733.JPEG']"
238,Greater Swiss Mountain dog,n02107574,the largest of the four Swiss breeds,['https://en.wikipedia.org/wiki/Greater_Swiss_Mountain_Dog'],Dogs,"['ILSVRC2012_val_00011947.JPEG', 'ILSVRC2012_val_00032111.JPEG', 'ILSVRC2012_val_00021642.JPEG', 'ILSVRC2012_val_00031343.JPEG', 'ILSVRC2012_val_00007071.JPEG']"
239,Bernese mountain dog,n02107683,large powerful long-haired black-coated Swiss dog with deep tan or russet markings on legs and white blaze and feet and chest marking; formerly used for draft,['https://en.wikipedia.org/wiki/Bernese_Mountain_Dog'],Dogs,"['ILSVRC2012_val_00011491.JPEG', 'ILSVRC2012_val_00033164.JPEG', 'ILSVRC2012_val_00021172.JPEG', 'ILSVRC2012_val_00013814.JPEG', 'ILSVRC2012_val_00034495.JPEG']"
240,Appenzeller,n02107908,a smaller of the four Swiss breeds,['https://en.wikipedia.org/wiki/Appenzeller_Sennenhund'],Dogs,"['ILSVRC2012_val_00041886.JPEG', 'ILSVRC2012_val_00040909.JPEG', 'ILSVRC2012_val_00000758.JPEG', 'ILSVRC2012_val_00042344.JPEG', 'ILSVRC2012_val_00021208.JPEG']"
241,EntleBucher,n02108000,the smallest of the Sennenhunde,['https://en.wikipedia.org/wiki/Entlebucher_Mountain_Dog'],Dogs,"['ILSVRC2012_val_00029217.JPEG', 'ILSVRC2012_val_00033690.JPEG', 'ILSVRC2012_val_00002277.JPEG', 'ILSVRC2012_val_00028922.JPEG', 'ILSVRC2012_val_00026161.JPEG']"
242,boxer,n02108089,a breed of stocky medium-sized short-haired dog with a brindled coat and square-jawed muzzle developed in Germany,['https://en.wikipedia.org/wiki/Boxer_(dog)'],Dogs,"['ILSVRC2012_val_00015355.JPEG', 'ILSVRC2012_val_00007295.JPEG', 'ILSVRC2012_val_00029970.JPEG', 'ILSVRC2012_val_00000635.JPEG', 'ILSVRC2012_val_00029255.JPEG']"
243,bull mastiff,n02108422,large powerful breed developed by crossing the bulldog and the mastiff,['https://en.wikipedia.org/wiki/Bullmastiff'],Dogs,"['ILSVRC2012_val_00004963.JPEG', 'ILSVRC2012_val_00002516.JPEG', 'ILSVRC2012_val_00007219.JPEG', 'ILSVRC2012_val_00026154.JPEG', 'ILSVRC2012_val_00026027.JPEG']"
244,Tibetan mastiff,n02108551,very large powerful rough-coated dog native to central Asia,['https://en.wikipedia.org/wiki/Tibetan_Mastiff'],Dogs,"['ILSVRC2012_val_00043131.JPEG', 'ILSVRC2012_val_00043216.JPEG', 'ILSVRC2012_val_00020152.JPEG', 'ILSVRC2012_val_00039687.JPEG', 'ILSVRC2012_val_00028514.JPEG']"
245,French bulldog,n02108915,small stocky version of the bulldog having a sleek coat and square head,['https://en.wikipedia.org/wiki/French_Bulldog'],Dogs,"['ILSVRC2012_val_00022996.JPEG', 'ILSVRC2012_val_00026976.JPEG', 'ILSVRC2012_val_00018792.JPEG', 'ILSVRC2012_val_00034420.JPEG', 'ILSVRC2012_val_00047896.JPEG']"
246,Great Dane,n02109047,very large powerful smooth-coated breed of dog,['https://en.wikipedia.org/wiki/Great_Dane'],Dogs,"['ILSVRC2012_val_00023027.JPEG', 'ILSVRC2012_val_00004731.JPEG', 'ILSVRC2012_val_00006172.JPEG', 'ILSVRC2012_val_00022808.JPEG', 'ILSVRC2012_val_00004710.JPEG']"
247,"Saint Bernard, St Bernard",n02109525,a Swiss alpine breed of large powerful dog with a thick coat of hair used as a rescue dog,['https://en.wikipedia.org/wiki/St._Bernard_(dog)'],Dogs,"['ILSVRC2012_val_00045060.JPEG', 'ILSVRC2012_val_00048980.JPEG', 'ILSVRC2012_val_00028010.JPEG', 'ILSVRC2012_val_00026467.JPEG', 'ILSVRC2012_val_00033703.JPEG']"
248,"Eskimo dog, husky",n02109961,breed of heavy-coated Arctic sled dog,['https://en.wikipedia.org/wiki/Husky'],Dogs,"['ILSVRC2012_val_00045291.JPEG', 'ILSVRC2012_val_00002004.JPEG', 'ILSVRC2012_val_00046423.JPEG', 'ILSVRC2012_val_00005521.JPEG', 'ILSVRC2012_val_00007551.JPEG']"
249,"malamute, malemute, Alaskan malamute",n02110063,breed of sled dog developed in Alaska,['https://en.wikipedia.org/wiki/Alaskan_Malamute'],Dogs,"['ILSVRC2012_val_00029783.JPEG', 'ILSVRC2012_val_00042409.JPEG', 'ILSVRC2012_val_00009416.JPEG', 'ILSVRC2012_val_00024218.JPEG', 'ILSVRC2012_val_00019342.JPEG']"
250,Siberian husky,n02110185,breed of sled dog developed in northeastern Siberia; they resemble the larger Alaskan malamutes,['https://en.wikipedia.org/wiki/Siberian_Husky'],Dogs,"['ILSVRC2012_val_00046687.JPEG', 'ILSVRC2012_val_00004967.JPEG', 'ILSVRC2012_val_00023437.JPEG', 'ILSVRC2012_val_00007218.JPEG', 'ILSVRC2012_val_00041649.JPEG']"
251,"dalmatian, coach dog, carriage dog",n02110341,a large breed having a smooth white coat with black or brown spots; originated in Dalmatia,['https://en.wikipedia.org/wiki/Dalmatian_dog'],Dogs,"['ILSVRC2012_val_00009602.JPEG', 'ILSVRC2012_val_00019824.JPEG', 'ILSVRC2012_val_00030476.JPEG', 'ILSVRC2012_val_00041081.JPEG', 'ILSVRC2012_val_00049881.JPEG']"
252,"affenpinscher, monkey pinscher, monkey dog",n02110627,European breed of small dog resembling a terrier with dark wiry hair and a tufted muzzle,['https://en.wikipedia.org/wiki/Affenpinscher'],Dogs,"['ILSVRC2012_val_00032850.JPEG', 'ILSVRC2012_val_00005489.JPEG', 'ILSVRC2012_val_00003851.JPEG', 'ILSVRC2012_val_00006545.JPEG', 'ILSVRC2012_val_00024150.JPEG']"
253,basenji,n02110806,small smooth-haired breed of African origin having a tightly curled tail and the inability to bark,['https://en.wikipedia.org/wiki/Basenji'],Dogs,"['ILSVRC2012_val_00046623.JPEG', 'ILSVRC2012_val_00004804.JPEG', 'ILSVRC2012_val_00043319.JPEG', 'ILSVRC2012_val_00013318.JPEG', 'ILSVRC2012_val_00043813.JPEG']"
254,"pug, pug-dog",n02110958,small compact smooth-coated breed of Asiatic origin having a tightly curled tail and broad flat wrinkled muzzle,['https://en.wikipedia.org/wiki/Pug'],Dogs,"['ILSVRC2012_val_00031219.JPEG', 'ILSVRC2012_val_00013670.JPEG', 'ILSVRC2012_val_00032117.JPEG', 'ILSVRC2012_val_00015786.JPEG', 'ILSVRC2012_val_00015419.JPEG']"
255,Leonberg,n02111129,a large dog (usually with a golden coat) produced by crossing a St Bernard and a Newfoundland,['https://en.wikipedia.org/wiki/Leonberger'],Dogs,"['ILSVRC2012_val_00014863.JPEG', 'ILSVRC2012_val_00028755.JPEG', 'ILSVRC2012_val_00001203.JPEG', 'ILSVRC2012_val_00025253.JPEG', 'ILSVRC2012_val_00008496.JPEG']"
256,"Newfoundland, Newfoundland dog",n02111277,a breed of very large heavy dogs with a thick coarse usually black coat; highly intelligent dogs and vigorous swimmers; developed in Newfoundland,['https://en.wikipedia.org/wiki/Newfoundland_dog'],Dogs,"['ILSVRC2012_val_00000045.JPEG', 'ILSVRC2012_val_00023569.JPEG', 'ILSVRC2012_val_00005626.JPEG', 'ILSVRC2012_val_00008111.JPEG', 'ILSVRC2012_val_00010734.JPEG']"
257,Great Pyrenees,n02111500,bred of large heavy-coated white dogs resembling the Newfoundland,['https://en.wikipedia.org/wiki/Great_Pyrenees'],Dogs,"['ILSVRC2012_val_00015226.JPEG', 'ILSVRC2012_val_00000450.JPEG', 'ILSVRC2012_val_00021840.JPEG', 'ILSVRC2012_val_00017735.JPEG', 'ILSVRC2012_val_00038589.JPEG']"
258,"Samoyed, Samoyede",n02111889,Siberian breed of white or cream-colored dog of the spitz family,['https://en.wikipedia.org/wiki/Samoyed_dog'],Dogs,"['ILSVRC2012_val_00022032.JPEG', 'ILSVRC2012_val_00021632.JPEG', 'ILSVRC2012_val_00034430.JPEG', 'ILSVRC2012_val_00040405.JPEG', 'ILSVRC2012_val_00024951.JPEG']"
259,Pomeranian,n02112018,breed of very small compact long-haired dogs of the spitz type,['https://en.wikipedia.org/wiki/Pomeranian_(dog)'],Dogs,"['ILSVRC2012_val_00021540.JPEG', 'ILSVRC2012_val_00025388.JPEG', 'ILSVRC2012_val_00023801.JPEG', 'ILSVRC2012_val_00019415.JPEG', 'ILSVRC2012_val_00025677.JPEG']"
260,"chow, chow chow",n02112137,breed of medium-sized dogs with a thick coat and fluffy curled tails and distinctive blue-black tongues; believed to have originated in northern China,['https://en.wikipedia.org/wiki/Chow_Chow'],Dogs,"['ILSVRC2012_val_00024588.JPEG', 'ILSVRC2012_val_00020518.JPEG', 'ILSVRC2012_val_00011296.JPEG', 'ILSVRC2012_val_00003696.JPEG', 'ILSVRC2012_val_00015920.JPEG']"
261,keeshond,n02112350,a spitz-like dog having a shaggy greyish coat and tightly curled tail originating in Holland,['https://en.wikipedia.org/wiki/Keeshond'],Dogs,"['ILSVRC2012_val_00008792.JPEG', 'ILSVRC2012_val_00028870.JPEG', 'ILSVRC2012_val_00023661.JPEG', 'ILSVRC2012_val_00043417.JPEG', 'ILSVRC2012_val_00014700.JPEG']"
262,Brabancon griffon,n02112706,a variety of Brussels griffon having a short smooth coat,['https://en.wikipedia.org/wiki/Griffon_Bruxellois'],Dogs,"['ILSVRC2012_val_00033232.JPEG', 'ILSVRC2012_val_00029152.JPEG', 'ILSVRC2012_val_00030619.JPEG', 'ILSVRC2012_val_00021608.JPEG', 'ILSVRC2012_val_00047146.JPEG']"
263,"Pembroke, Pembroke Welsh corgi",n02113023,the smaller and straight-legged variety of corgi having pointed ears and a short tail,['https://en.wikipedia.org/wiki/Pembroke_Welsh_Corgi'],Dogs,"['ILSVRC2012_val_00007634.JPEG', 'ILSVRC2012_val_00005300.JPEG', 'ILSVRC2012_val_00009452.JPEG', 'ILSVRC2012_val_00005746.JPEG', 'ILSVRC2012_val_00038075.JPEG']"
264,"Cardigan, Cardigan Welsh corgi",n02113186,slightly bowlegged variety of corgi having rounded ears and a long tail,['https://en.wikipedia.org/wiki/Cardigan_Welsh_Corgi'],Dogs,"['ILSVRC2012_val_00042977.JPEG', 'ILSVRC2012_val_00019678.JPEG', 'ILSVRC2012_val_00003910.JPEG', 'ILSVRC2012_val_00025691.JPEG', 'ILSVRC2012_val_00016489.JPEG']"
265,toy poodle,n02113624,the breed of very small poodles,['https://en.wikipedia.org/wiki/Poodle'],Dogs,"['ILSVRC2012_val_00001448.JPEG', 'ILSVRC2012_val_00022911.JPEG', 'ILSVRC2012_val_00023198.JPEG', 'ILSVRC2012_val_00003179.JPEG', 'ILSVRC2012_val_00012610.JPEG']"
266,miniature poodle,n02113712,a breed of small poodles,['https://en.wikipedia.org/wiki/Poodle'],Dogs,"['ILSVRC2012_val_00010575.JPEG', 'ILSVRC2012_val_00049715.JPEG', 'ILSVRC2012_val_00044968.JPEG', 'ILSVRC2012_val_00021671.JPEG', 'ILSVRC2012_val_00029375.JPEG']"
267,standard poodle,n02113799,a breed or medium-sized poodles,['https://en.wikipedia.org/wiki/Poodle'],Dogs,"['ILSVRC2012_val_00039393.JPEG', 'ILSVRC2012_val_00040742.JPEG', 'ILSVRC2012_val_00005936.JPEG', 'ILSVRC2012_val_00018934.JPEG', 'ILSVRC2012_val_00045292.JPEG']"
268,Mexican hairless,n02113978,any of an old breed of small nearly hairless dogs of Mexico,['https://en.wikipedia.org/wiki/Mexican_Hairless_Dog'],Dogs,"['ILSVRC2012_val_00021475.JPEG', 'ILSVRC2012_val_00028901.JPEG', 'ILSVRC2012_val_00028425.JPEG', 'ILSVRC2012_val_00001467.JPEG', 'ILSVRC2012_val_00011202.JPEG']"
269,"timber wolf, grey wolf, gray wolf, Canis lupus",n02114367,a wolf with a brindled grey coat living in forested northern regions of North America,['https://en.wikipedia.org/wiki/Wolf'],Dogs,"['ILSVRC2012_val_00001469.JPEG', 'ILSVRC2012_val_00027497.JPEG', 'ILSVRC2012_val_00041991.JPEG', 'ILSVRC2012_val_00006666.JPEG', 'ILSVRC2012_val_00031414.JPEG']"
270,"white wolf, Arctic wolf, Canis lupus tundrarum",n02114548,wolf of Arctic North America having white fur and a black-tipped tail,['https://en.wikipedia.org/wiki/Arctic_wolf'],Dogs,"['ILSVRC2012_val_00044679.JPEG', 'ILSVRC2012_val_00034856.JPEG', 'ILSVRC2012_val_00042098.JPEG', 'ILSVRC2012_val_00020076.JPEG', 'ILSVRC2012_val_00025285.JPEG']"
271,"red wolf, maned wolf, Canis rufus, Canis niger",n02114712,reddish-grey wolf of southwestern North America,['https://en.wikipedia.org/wiki/Red_wolf'],Dogs,"['ILSVRC2012_val_00013903.JPEG', 'ILSVRC2012_val_00047850.JPEG', 'ILSVRC2012_val_00028593.JPEG', 'ILSVRC2012_val_00036798.JPEG', 'ILSVRC2012_val_00004870.JPEG']"
272,"coyote, prairie wolf, brush wolf, Canis latrans",n02114855,small wolf native to western North America,['https://en.wikipedia.org/wiki/Coyote'],Dogs,"['ILSVRC2012_val_00009474.JPEG', 'ILSVRC2012_val_00048693.JPEG', 'ILSVRC2012_val_00041643.JPEG', 'ILSVRC2012_val_00031197.JPEG', 'ILSVRC2012_val_00037275.JPEG']"
273,"dingo, warrigal, warragal, Canis dingo",n02115641,wolflike yellowish-brown wild dog of Australia,['https://en.wikipedia.org/wiki/Dingo'],Dogs,"['ILSVRC2012_val_00031077.JPEG', 'ILSVRC2012_val_00004320.JPEG', 'ILSVRC2012_val_00048971.JPEG', 'ILSVRC2012_val_00010040.JPEG', 'ILSVRC2012_val_00030693.JPEG']"
274,"dhole, Cuon alpinus",n02115913,fierce wild dog of the forests of central and southeast Asia that hunts in packs,['https://en.wikipedia.org/wiki/Dhole'],Dogs,"['ILSVRC2012_val_00023259.JPEG', 'ILSVRC2012_val_00012316.JPEG', 'ILSVRC2012_val_00035811.JPEG', 'ILSVRC2012_val_00048438.JPEG', 'ILSVRC2012_val_00009314.JPEG']"
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",n02116738,a powerful doglike mammal of southern and eastern Africa that hunts in large packs; now rare in settled area,['https://en.wikipedia.org/wiki/African_wild_dog'],Dogs,"['ILSVRC2012_val_00002468.JPEG', 'ILSVRC2012_val_00021003.JPEG', 'ILSVRC2012_val_00023748.JPEG', 'ILSVRC2012_val_00013368.JPEG', 'ILSVRC2012_val_00034123.JPEG']"
276,"hyena, hyaena",n02117135,doglike nocturnal mammal of Africa and southern Asia that feeds chiefly on carrion,['https://en.wikipedia.org/wiki/Hyena'],Dogs,"['ILSVRC2012_val_00004940.JPEG', 'ILSVRC2012_val_00049629.JPEG', 'ILSVRC2012_val_00042684.JPEG', 'ILSVRC2012_val_00019942.JPEG', 'ILSVRC2012_val_00009354.JPEG']"
277,"red fox, Vulpes vulpes",n02119022,the common Old World fox; having reddish-brown fur; commonly considered a single circumpolar species,['https://en.wikipedia.org/wiki/Red_fox'],Dogs,"['ILSVRC2012_val_00004643.JPEG', 'ILSVRC2012_val_00006818.JPEG', 'ILSVRC2012_val_00004141.JPEG', 'ILSVRC2012_val_00033177.JPEG', 'ILSVRC2012_val_00011084.JPEG']"
278,"kit fox, Vulpes macrotis",n02119789,small grey fox of southwestern United States; may be a subspecies of Vulpes velox,['https://en.wikipedia.org/wiki/Kit_fox'],Dogs,"['ILSVRC2012_val_00047804.JPEG', 'ILSVRC2012_val_00006183.JPEG', 'ILSVRC2012_val_00048440.JPEG', 'ILSVRC2012_val_00002881.JPEG', 'ILSVRC2012_val_00009336.JPEG']"
279,"Arctic fox, white fox, Alopex lagopus",n02120079,thickly-furred fox of Arctic regions; brownish in summer and white in winter,['https://en.wikipedia.org/wiki/Arctic_fox'],Dogs,"['ILSVRC2012_val_00036301.JPEG', 'ILSVRC2012_val_00031178.JPEG', 'ILSVRC2012_val_00012251.JPEG', 'ILSVRC2012_val_00049517.JPEG', 'ILSVRC2012_val_00027233.JPEG']"
280,"grey fox, gray fox, Urocyon cinereoargenteus",n02120505,dark grey American fox; from Central America through southern United States,['https://en.wikipedia.org/wiki/Gray_fox'],Dogs,"['ILSVRC2012_val_00039937.JPEG', 'ILSVRC2012_val_00043254.JPEG', 'ILSVRC2012_val_00028275.JPEG', 'ILSVRC2012_val_00016027.JPEG', 'ILSVRC2012_val_00037906.JPEG']"
281,"tabby, tabby cat",n02123045,a cat with a grey or tawny coat mottled with black,['https://en.wikipedia.org/wiki/Tabby_cat'],Other mammals,"['ILSVRC2012_val_00010711.JPEG', 'ILSVRC2012_val_00013684.JPEG', 'ILSVRC2012_val_00040238.JPEG', 'ILSVRC2012_val_00012377.JPEG', 'ILSVRC2012_val_00011142.JPEG']"
282,tiger cat,n02123159,a cat having a striped coat,['https://en.wikipedia.org/wiki/Oncilla'],Other mammals,"['ILSVRC2012_val_00007303.JPEG', 'ILSVRC2012_val_00027539.JPEG', 'ILSVRC2012_val_00025396.JPEG', 'ILSVRC2012_val_00027226.JPEG', 'ILSVRC2012_val_00016000.JPEG']"
283,Persian cat,n02123394,a long-haired breed of cat,['https://en.wikipedia.org/wiki/Persian_cat'],Other mammals,"['ILSVRC2012_val_00015372.JPEG', 'ILSVRC2012_val_00010218.JPEG', 'ILSVRC2012_val_00001101.JPEG', 'ILSVRC2012_val_00008986.JPEG', 'ILSVRC2012_val_00020765.JPEG']"
284,"Siamese cat, Siamese",n02123597,a slender short-haired blue-eyed breed of cat having a pale coat with dark ears paws face and tail tip,['https://en.wikipedia.org/wiki/Siamese_cat'],Other mammals,"['ILSVRC2012_val_00011528.JPEG', 'ILSVRC2012_val_00020230.JPEG', 'ILSVRC2012_val_00043632.JPEG', 'ILSVRC2012_val_00043145.JPEG', 'ILSVRC2012_val_00025519.JPEG']"
285,Egyptian cat,n02124075,a domestic cat of Egypt,['https://en.wikipedia.org/wiki/Egyptian_Mau'],Other mammals,"['ILSVRC2012_val_00038976.JPEG', 'ILSVRC2012_val_00023871.JPEG', 'ILSVRC2012_val_00023393.JPEG', 'ILSVRC2012_val_00026412.JPEG', 'ILSVRC2012_val_00023906.JPEG']"
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",n02125311,large American feline resembling a lion,"['https://en.wikipedia.org/wiki/Cougar', 'https://en.wikipedia.org/wiki/Puma_(genus)']",Other mammals,"['ILSVRC2012_val_00014538.JPEG', 'ILSVRC2012_val_00003013.JPEG', 'ILSVRC2012_val_00021045.JPEG', 'ILSVRC2012_val_00006612.JPEG', 'ILSVRC2012_val_00029306.JPEG']"
287,"lynx, catamount",n02127052,short-tailed wildcats with usually tufted ears; valued for their fur,['https://en.wikipedia.org/wiki/Lynx'],Other mammals,"['ILSVRC2012_val_00028583.JPEG', 'ILSVRC2012_val_00018269.JPEG', 'ILSVRC2012_val_00013812.JPEG', 'ILSVRC2012_val_00035366.JPEG', 'ILSVRC2012_val_00041961.JPEG']"
288,"leopard, Panthera pardus",n02128385,large feline of African and Asian forests usually having a tawny coat with black spots,['https://en.wikipedia.org/wiki/Leopard'],Other mammals,"['ILSVRC2012_val_00040100.JPEG', 'ILSVRC2012_val_00000650.JPEG', 'ILSVRC2012_val_00018358.JPEG', 'ILSVRC2012_val_00024219.JPEG', 'ILSVRC2012_val_00021538.JPEG']"
289,"snow leopard, ounce, Panthera uncia",n02128757,large feline of upland central Asia having long thick whitish fur,['https://en.wikipedia.org/wiki/Snow_leopard'],Other mammals,"['ILSVRC2012_val_00013141.JPEG', 'ILSVRC2012_val_00010472.JPEG', 'ILSVRC2012_val_00024910.JPEG', 'ILSVRC2012_val_00019816.JPEG', 'ILSVRC2012_val_00046555.JPEG']"
290,"jaguar, panther, Panthera onca, Felis onca",n02128925,a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Felis,['https://en.wikipedia.org/wiki/Jaguar'],Other mammals,"['ILSVRC2012_val_00021064.JPEG', 'ILSVRC2012_val_00012411.JPEG', 'ILSVRC2012_val_00010173.JPEG', 'ILSVRC2012_val_00009209.JPEG', 'ILSVRC2012_val_00018843.JPEG']"
291,"lion, king of beasts, Panthera leo",n02129165,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male,['https://en.wikipedia.org/wiki/Lion'],Other mammals,"['ILSVRC2012_val_00023212.JPEG', 'ILSVRC2012_val_00040647.JPEG', 'ILSVRC2012_val_00040607.JPEG', 'ILSVRC2012_val_00006345.JPEG', 'ILSVRC2012_val_00012423.JPEG']"
292,"tiger, Panthera tigris",n02129604,large feline of forests in most of Asia having a tawny coat with black stripes; endangered,['https://en.wikipedia.org/wiki/Tiger'],Other mammals,"['ILSVRC2012_val_00029335.JPEG', 'ILSVRC2012_val_00048375.JPEG', 'ILSVRC2012_val_00011736.JPEG', 'ILSVRC2012_val_00035494.JPEG', 'ILSVRC2012_val_00048186.JPEG']"
293,"cheetah, chetah, Acinonyx jubatus",n02130308,long-legged spotted cat of Africa and southwestern Asia having nonretractile claws; the swiftest mammal; can be trained to run down game,['https://en.wikipedia.org/wiki/Cheetah'],Other mammals,"['ILSVRC2012_val_00014974.JPEG', 'ILSVRC2012_val_00026943.JPEG', 'ILSVRC2012_val_00007031.JPEG', 'ILSVRC2012_val_00033338.JPEG', 'ILSVRC2012_val_00018205.JPEG']"
294,"brown bear, bruin, Ursus arctos",n02132136,large ferocious bear of Eurasia,['https://en.wikipedia.org/wiki/Brown_bear'],Other mammals,"['ILSVRC2012_val_00010281.JPEG', 'ILSVRC2012_val_00032453.JPEG', 'ILSVRC2012_val_00046207.JPEG', 'ILSVRC2012_val_00043856.JPEG', 'ILSVRC2012_val_00046763.JPEG']"
295,"American black bear, black bear, Ursus americanus, Euarctos americanus",n02133161,brown to black North American bear; smaller and less ferocious than the brown bear,['https://en.wikipedia.org/wiki/American_black_bear'],Other mammals,"['ILSVRC2012_val_00019862.JPEG', 'ILSVRC2012_val_00006793.JPEG', 'ILSVRC2012_val_00033782.JPEG', 'ILSVRC2012_val_00007514.JPEG', 'ILSVRC2012_val_00045891.JPEG']"
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",n02134084,white bear of Arctic regions,['https://en.wikipedia.org/wiki/Polar_bear'],Other mammals,"['ILSVRC2012_val_00017605.JPEG', 'ILSVRC2012_val_00002105.JPEG', 'ILSVRC2012_val_00029624.JPEG', 'ILSVRC2012_val_00044402.JPEG', 'ILSVRC2012_val_00007713.JPEG']"
297,"sloth bear, Melursus ursinus, Ursus ursinus",n02134418,common coarse-haired long-snouted bear of south-central Asia,['https://en.wikipedia.org/wiki/Sloth_bear'],Other mammals,"['ILSVRC2012_val_00042361.JPEG', 'ILSVRC2012_val_00022111.JPEG', 'ILSVRC2012_val_00023812.JPEG', 'ILSVRC2012_val_00019901.JPEG', 'ILSVRC2012_val_00039399.JPEG']"
298,mongoose,n02137549,agile grizzled Old World viverrine; preys on snakes and rodents,['https://en.wikipedia.org/wiki/Mongoose'],Other mammals,"['ILSVRC2012_val_00039800.JPEG', 'ILSVRC2012_val_00036466.JPEG', 'ILSVRC2012_val_00048500.JPEG', 'ILSVRC2012_val_00017084.JPEG', 'ILSVRC2012_val_00047555.JPEG']"
299,"meerkat, mierkat",n02138441,a mongoose-like viverrine of South Africa having a face like a lemur and only four toes,['https://en.wikipedia.org/wiki/Meerkat'],Other mammals,"['ILSVRC2012_val_00017408.JPEG', 'ILSVRC2012_val_00026404.JPEG', 'ILSVRC2012_val_00001742.JPEG', 'ILSVRC2012_val_00037627.JPEG', 'ILSVRC2012_val_00040642.JPEG']"
300,tiger beetle,n02165105,active usually bright-colored beetle that preys on other insects,['https://en.wikipedia.org/wiki/Tiger_beetle'],inverterbrates,"['ILSVRC2012_val_00045009.JPEG', 'ILSVRC2012_val_00019643.JPEG', 'ILSVRC2012_val_00013552.JPEG', 'ILSVRC2012_val_00035247.JPEG', 'ILSVRC2012_val_00049578.JPEG']"
301,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",n02165456,small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests,['https://en.wikipedia.org/wiki/Coccinellidae'],inverterbrates,"['ILSVRC2012_val_00023650.JPEG', 'ILSVRC2012_val_00013832.JPEG', 'ILSVRC2012_val_00000625.JPEG', 'ILSVRC2012_val_00015975.JPEG', 'ILSVRC2012_val_00031903.JPEG']"
302,"ground beetle, carabid beetle",n02167151,predacious shining black or metallic terrestrial beetle that destroys many injurious insects,['https://en.wikipedia.org/wiki/Ground_beetle'],inverterbrates,"['ILSVRC2012_val_00000956.JPEG', 'ILSVRC2012_val_00042610.JPEG', 'ILSVRC2012_val_00005891.JPEG', 'ILSVRC2012_val_00016594.JPEG', 'ILSVRC2012_val_00001421.JPEG']"
303,"long-horned beetle, longicorn, longicorn beetle",n02168699,long-bodied beetle having very long antennae,['https://en.wikipedia.org/wiki/Longhorn_beetle'],inverterbrates,"['ILSVRC2012_val_00041250.JPEG', 'ILSVRC2012_val_00040132.JPEG', 'ILSVRC2012_val_00003444.JPEG', 'ILSVRC2012_val_00026324.JPEG', 'ILSVRC2012_val_00032989.JPEG']"
304,"leaf beetle, chrysomelid",n02169497,brightly colored beetle that feeds on plant leaves; larvae infest roots and stems,['https://en.wikipedia.org/wiki/Leaf_beetle'],inverterbrates,"['ILSVRC2012_val_00024558.JPEG', 'ILSVRC2012_val_00007549.JPEG', 'ILSVRC2012_val_00047901.JPEG', 'ILSVRC2012_val_00032871.JPEG', 'ILSVRC2012_val_00017264.JPEG']"
305,dung beetle,n02172182,any of numerous beetles that roll balls of dung on which they feed and in which they lay eggs,['https://en.wikipedia.org/wiki/Dung_beetle'],inverterbrates,"['ILSVRC2012_val_00024737.JPEG', 'ILSVRC2012_val_00047541.JPEG', 'ILSVRC2012_val_00043711.JPEG', 'ILSVRC2012_val_00000924.JPEG', 'ILSVRC2012_val_00003677.JPEG']"
